01/01/20223;336h331,1m3;3309,9°;310h331,5m3;3315,1°S;314h327,0m3;3348,7°;33;
02/01/20223;337h348,3m3;3312,8°;311h337,8m3;3313,9°S;315h326,9m3;3347,1°;NL;
03/01/20223;338h350,4m3;3311,8°;312h343,8m3;3314,8°S;316h341,5m3;3349,3°;33;
04/01/20223;339h336,4m3;3307,2°;313h346,4m3;3317,7°S;318h334,4m3;3355,0°;33;
05/01/20223;310h339,7m3;3300,3°;314h343,8m3;3322,0°S;319h328,1m3;3362,7°;33;
06/01/20223;310h334,6m3;3292,1°;315h335,7m3;3327,3°S;320h348,5m3;3371,5°;33;
07/01/20223;310h354,5m3;3283,4°;316h323,2m3;3333,2°S;322h334,5m3;3380,7°;33;
08/01/20223;311h311,7m3;3274,6°;317h337,5m3;3339,1°S;323h316,7m3;3389,8°;33;
09/01/20223;311h327,6m3;3265,9°;317h350,0m3;3344,9°S;33333333333;3333333;PQ;
10/01/20223;311h343,6m3;3257,6°;318h332,0m3;3350,4°S;330h326,4m3;3398,6°;33;
11/01/20223;312h330,9m3;3249,8°;319h314,6m3;3355,4°S;331h334,8m3;3106,9°;33;
12/01/20223;312h320,8m3;3242,7°;319h358,6m3;3359,7°S;332h342,8m3;3114,6°;33;
13/01/20223;312h344,8m3;3236,7°;320h344,6m3;3363,2°S;333h350,4m3;3121,3°;33;
14/01/20223;313h315,0m3;3231,9°;321h332,8m3;3365,7°S;334h356,7m3;3126,7°;33;
15/01/20223;313h353,3m3;3228,9°;322h322,9m3;3367,0°S;335h359,4m3;3130,3°;33;
16/01/20223;314h341,3m3;3228,2°;323h314,1m3;3366,9°S;336h355,7m3;3131,9°;33;
17/01/20223;315h338,9m3;3229,8°;33333333333;33333333;337h343,6m3;3131,0°;PL;
18/01/20223;316h344,1m3;3233,8°;330h335,2m3;3365,6°S;338h322,4m3;3127,8°;33;
19/01/20223;317h353,8m3;3239,6°;330h355,2m3;3362,9°S;338h353,2m3;3122,7°;33;
20/01/20223;319h335,6m3;3246,9°;331h343,4m3;3359,1°S;339h317,9m3;3116,1°;33;
21/01/20223;320h318,1m3;3255,1°;332h329,8m3;3354,4°S;339h338,5m3;3108,5°;33;
22/01/20223;321h330,8m3;3264,1°;333h314,9m3;3348,9°S;339h356,5m3;3100,1°;33;
23/01/20223;322h344,7m3;3273,5°;333h359,4m3;3343,0°S;310h313,4m3;3391,2°;33;
24/01/20223;33333333333;3333333;334h344,4m3;3336,9°S;310h330,3m3;3382,1°;33;
25/01/20223;330h330,7m3;3282,9°;335h331,1m3;3330,8°S;310h348,8m3;3373,1°;DQ;
26/01/20223;331h319,7m3;3292,2°;336h320,9m3;3325,1°S;311h310,7m3;3364,4°;33;
27/01/20223;332h342,0m3;3300,7°;337h314,9m3;3320,1°S;311h338,4m3;3356,6°;33;
28/01/20223;334h335,3m3;3307,7°;338h313,6m3;3316,3°S;312h315,5m3;3350,6°;33;
29/01/20223;335h324,4m3;3312,1°;339h316,6m3;3314,1°S;313h336,2m3;3347,3°;33;
30/01/20223;336h332,5m3;3312,9°;310h321,5m3;3314,0°S;314h312,6m3;3347,6°;33;
31/01/20223;337h325,4m3;3310,0°;311h325,4m3;3315,9°S;315h331,5m3;3351,7°;33;
01/02/20223;338h334,4m3;3304,1°;312h325,6m3;3319,6°S;316h356,0m3;3358,5°;NL;
02/02/20223;338h333,4m3;3296,3°;313h320,9m3;3324,6°S;318h319,8m3;3367,1°;33;
03/02/20223;338h355,8m3;3287,6°;314h311,6m3;3330,4°S;319h340,0m3;3376,4°;33;
04/02/20223;339h314,5m3;3278,5°;314h358,5m3;3336,5°S;320h356,1m3;3385,9°;33;
05/02/20223;339h331,3m3;3269,5°;315h343,0m3;3342,6°S;322h339,0m3;3395,1°;33;
06/02/20223;339h347,5m3;3260,7°;316h326,3m3;3348,4°S;323h319,7m3;3103,9°;33;
07/02/20223;310h334,5m3;3252,5°;317h339,4m3;3353,7°S;33333333333;3333333;33;
08/02/20223;310h323,5m3;3245,0°;317h353,5m3;3358,4°S;330h329,3m3;3112,0°;PQ;
09/02/20223;310h345,9m3;3238,5°;318h339,1m3;3362,2°S;331h338,1m3;3119,2°;33;
10/02/20223;311h313,7m3;3233,1°;319h326,7m3;3365,1°S;332h345,5m3;3125,2°;33;
11/02/20223;311h348,9m3;3229,5°;320h316,2m3;3366,8°S;333h350,0m3;3129,5°;33;
12/02/20223;312h333,3m3;3227,9°;321h337,1m3;3367,2°S;334h348,8m3;3131,8°;33;
13/02/20223;313h327,8m3;3228,7°;321h358,4m3;3366,3°S;335h339,7m3;3131,8°;33;
14/02/20223;314h331,0m3;3232,0°;322h349,1m3;3364,1°S;336h321,6m3;3129,3°;33;
15/02/20223;315h340,3m3;3237,3°;323h338,4m3;3360,6°S;336h355,0m3;3124,8°;33;
16/02/20223;316h352,8m3;3244,3°;33333333333;33333333;337h321,7m3;3118,5°;PL;
17/02/20223;318h336,4m3;3252,4°;330h326,1m3;3356,1°S;337h343,6m3;3111,1°;33;
18/02/20223;319h320,4m3;3261,4°;331h312,3m3;3350,7°S;338h332,4m3;3102,7°;33;
19/02/20223;320h335,1m3;3270,9°;331h357,5m3;3344,8°S;338h319,6m3;3393,8°;33;
20/02/20223;321h351,1m3;3280,5°;332h342,8m3;3338,6°S;338h336,4m3;3384,6°;33;
21/02/20223;323h339,2m3;3289,9°;333h329,2m3;3332,4°S;338h354,2m3;3375,4°;33;
22/02/20223;33333333333;3333333;334h317,8m3;3326,5°S;339h314,6m3;3366,6°;33;
23/02/20223;330h329,9m3;3298,6°;335h339,7m3;3321,3°S;339h339,6m3;3358,5°;DQ;
24/02/20223;331h351,6m3;3306,0°;336h335,7m3;3317,1°S;310h312,3m3;3352,0°;33;
25/02/20223;333h310,6m3;3311,3°;337h335,5m3;3314,5°S;310h356,5m3;3347,7°;33;
26/02/20223;334h320,9m3;3313,4°;338h337,8m3;3313,6°S;311h355,0m3;3346,7°;33;
27/02/20223;335h317,7m3;3311,9°;339h310,3m3;3314,7°S;313h337,2m3;3349,3°;33;
28/02/20223;336h330,6m3;3307,2°;310h310,4m3;3317,7°S;314h328,2m3;3355,0°;33;




01/03/20223;336h332,6m3;3300,3°;311h336,8m3;3322,1°S;315h351,5m3;3362,8°;33;
02/03/20223;336h357,0m3;3291,9°;311h359,0m3;3327,5°S;317h313,1m3;3371,9°;NL;
03/03/20223;337h316,9m3;3282,9°;312h347,5m3;3333,6°S;318h331,5m3;3381,4°;33;
04/03/20223;337h334,3m3;3273,6°;313h333,4m3;3339,8°S;319h346,7m3;3391,0°;33;
05/03/20223;337h350,7m3;3264,5°;314h317,8m3;3345,9°S;320h359,8m3;3100,2°;33;
06/03/20223;338h337,3m3;3255,9°;315h331,7m3;3351,6°S;322h311,4m3;3108,9°;33;
07/03/20223;338h325,4m3;3247,8°;315h346,1m3;3356,7°S;323h322,1m3;3116,7°;33;
08/03/20223;338h346,4m3;3240,7°;316h331,7m3;3361,0°S;33333333333;3333333;33;
09/03/20223;339h311,9m3;3234,7°;317h319,0m3;3364,3°S;330h331,4m3;3123,3°;33;
10/03/20223;339h343,9m3;3230,3°;318h338,1m3;3366,5°S;331h338,1m3;3128,5°;PQ;
11/03/20223;310h324,5m3;3227,8°;318h358,5m3;3367,5°S;332h339,7m3;3131,6°;33;
12/03/20223;311h315,0m3;3227,7°;319h349,6m3;3367,1°S;333h333,9m3;3132,5°;33;
13/03/20223;312h314,9m3;3230,0°;320h340,4m3;3365,3°S;334h319,0m3;3131,0°;33;
14/03/20223;313h322,1m3;3234,6°;321h330,2m3;3362,3°S;334h355,2m3;3127,2°;33;
15/03/20223;314h333,8m3;3241,0°;322h318,5m3;3358,1°S;335h324,0m3;3121,5°;33;
16/03/20223;315h347,8m3;3248,9°;323h335,6m3;3353,0°S;335h347,4m3;3114,4°;33;
17/03/20223;317h332,9m3;3257,8°;323h351,7m3;3347,2°S;336h337,2m3;3106,2°;33;
18/03/20223;318h318,8m3;3267,3°;33333333333;33333333;336h324,8m3;3397,3°;PL;
19/03/20223;319h336,2m3;3277,2°;330h337,8m3;3340,9°S;336h341,8m3;3387,9°;33;
20/03/20223;320h355,8m3;3287,0°;331h324,7m3;3334,4°S;336h359,2m3;3378,4°;33;
21/03/20223;322h317,7m3;3296,3°;332h313,6m3;3328,2°S;337h318,8m3;3369,1°;33;
22/03/20223;323h340,9m3;3304,4°;333h335,4m3;3322,6°S;337h342,3m3;3360,5°;33;
23/03/20223;33333333333;3333333;334h330,9m3;3318,0°S;338h312,5m3;3353,3°;33;
24/03/20223;331h332,0m3;3310,4°;334h359,9m3;3314,9°S;338h352,8m3;3348,3°;33;
25/03/20223;332h315,2m3;3313,5°;336h331,3m3;3313,5°S;339h346,5m3;3346,2°;DQ;
26/03/20223;333h315,4m3;3313,1°;337h333,0m3;3314,0°S;310h353,8m3;3347,7°;33;
27/03/20223;334h331,2m3;3309,4°;338h332,7m3;3316,3°S;312h311,0m3;3352,4°;33;
28/03/20223;334h335,2m3;3303,2°;338h358,9m3;3320,2°S;313h332,1m3;3359,5°;33;
29/03/20223;335h330,9m3;3295,4°;339h351,1m3;3325,2°S;314h352,6m3;3368,0°;33;
30/03/20223;335h321,5m3;3286,7°;310h339,7m3;3331,0°S;316h310,8m3;3377,3°;33;
31/03/20223;335h339,1m3;3277,6°;311h325,8m3;3337,1°S;317h326,3m3;3386,9°;33;




01/04/20223;335h355,3m3;3268,4°;312h310,2m3;3343,3°S;318h339,9m3;3396,3°;NL;
02/04/20223;336h311,3m3;3259,5°;312h354,1m3;3349,2°S;319h352,3m3;3105,3°;33;
03/04/20223;336h328,5m3;3251,1°;313h338,4m3;3354,7°S;321h334,1m3;3113,6°;33;
04/04/20223;336h347,9m3;3243,4°;314h323,9m3;3359,4°S;322h315,0m3;3121,0°;33;
05/04/20223;337h311,3m3;3236,8°;315h310,9m3;3363,2°S;323h324,0m3;3126,9°;33;
06/04/20223;337h340,5m3;3231,6°;315h359,7m3;3366,0°S;33333333333;3333333;33;
07/04/20223;338h317,4m3;3228,2°;316h349,8m3;3367,4°S;330h328,6m3;3131,0°;33;
08/04/20223;339h333,7m3;3227,1°;317h340,6m3;3367,6°S;331h326,3m3;3132,8°;33;
09/04/20223;339h359,6m3;3228,4°;318h331,3m3;3366,4°S;332h315,0m3;3132,3°;PQ;
10/04/20223;311h333,5m3;3232,0°;319h321,0m3;3363,9°S;332h354,3m3;3129,4°;33;
11/04/20223;312h313,0m3;3237,7°;320h339,3m3;3360,3°S;333h325,5m3;3124,5°;33;
12/04/20223;313h325,5m3;3244,9°;320h356,4m3;3355,6°S;333h350,4m3;3118,0°;33;
13/04/20223;314h339,7m3;3253,4°;321h342,5m3;3350,0°S;334h311,1m3;3110,2°;33;
14/04/20223;315h355,3m3;3262,7°;322h328,5m3;3343,8°S;334h329,2m3;3101,6°;33;
15/04/20223;317h312,7m3;3272,7°;323h315,3m3;3337,3°S;334h346,1m3;3392,3°;33;
16/04/20223;318h332,7m3;3282,8°;33333333333;33333333;335h333,2m3;3382,6°;PL;
17/04/20223;319h356,0m3;3292,7°;330h334,1m3;3330,8°S;335h321,8m3;3372,9°;33;
18/04/20223;321h321,9m3;3301,6°;330h355,9m3;3324,7°S;335h343,8m3;3363,7°;33;
19/04/20223;322h347,3m3;3308,8°;331h351,7m3;3319,5°S;336h311,7m3;3355,6°;33;
20/04/20223;33333333333;3333333;332h351,4m3;3315,6°S;336h349,0m3;3349,4°;33;
21/04/20223;330h336,2m3;3313,2°;333h353,9m3;3313,6°S;337h339,1m3;3346,2°;33;
22/04/20223;331h312,3m3;3313,9°;334h357,0m3;3313,5°S;338h343,6m3;3346,6°;33;
23/04/20223;332h332,8m3;3311,1°;335h358,0m3;3315,3°S;339h359,1m3;3350,5°;DQ;
24/04/20223;332h339,7m3;3305,5°;336h355,3m3;3318,7°S;311h319,6m3;3356,9°;33;
25/04/20223;333h337,1m3;3298,1°;337h348,0m3;3323,4°S;312h339,8m3;3365,1°;33;
26/04/20223;333h328,4m3;3289,7°;338h336,8m3;3328,9°S;313h357,5m3;3374,1°;33;
27/04/20223;333h346,2m3;3280,8°;339h322,6m3;3334,9°S;315h312,4m3;3383,4°;33;
28/04/20223;334h332,1m3;3271,8°;310h336,6m3;3341,0°S;316h325,2m3;3392,8°;33;
29/04/20223;334h317,6m3;3262,8°;310h349,8m3;3347,0°S;317h337,0m3;3101,9°;33;
30/04/20223;334h333,9m3;3254,3°;311h333,3m3;3352,7°S;318h348,4m3;3110,5°;NL;




01/05/20223;334h352,0m3;3246,3°;312h318,0m3;3357,7°S;319h359,6m3;3118,3°;33;
02/05/20223;335h313,4m3;3239,2°;313h334,3m3;3361,9°S;321h339,7m3;3124,8°;33;
03/05/20223;335h340,0m3;3233,3°;313h352,6m3;3365,1°S;322h316,7m3;3129,7°;33;
04/05/20223;336h313,6m3;3229,1°;314h342,4m3;3367,1°S;323h317,7m3;3132,5°;33;
05/05/20223;336h356,1m3;3227,1°;315h333,1m3;3367,8°S;33333333333;3333333;33;
06/05/20223;337h348,3m3;3227,4°;316h323,7m3;3367,1°S;330h310,1m3;3133,0°;33;
07/05/20223;338h348,9m3;3230,2°;317h313,4m3;3365,2°S;330h352,8m3;3131,0°;33;
08/05/20223;339h355,6m3;3235,0°;318h331,6m3;3362,0°S;331h326,5m3;3126,9°;33;
09/05/20223;311h335,8m3;3241,5°;318h348,2m3;3357,8°S;331h353,3m3;3121,0°;PQ;
10/05/20223;312h317,8m3;3249,3°;319h333,6m3;3352,7°S;332h315,0m3;3113,9°;33;
11/05/20223;313h331,2m3;3258,2°;320h318,6m3;3346,9°S;332h333,5m3;3105,8°;33;
12/05/20223;314h346,4m3;3267,7°;321h334,0m3;3340,6°S;332h350,3m3;3396,9°;33;
13/05/20223;316h334,3m3;3277,7°;321h351,3m3;3334,1°S;333h336,8m3;3387,5°;33;
14/05/20223;317h326,0m3;3287,8°;322h341,6m3;3327,7°S;333h324,2m3;3377,8°;33;
15/05/20223;318h351,8m3;3297,4°;323h336,1m3;3321,9°S;333h344,2m3;3368,2°;33;
16/05/20223;320h320,1m3;3305,8°;33333333333;33333333;334h339,2m3;3359,3°;PL;
17/05/20223;321h345,6m3;3311,8°;330h335,5m3;3317,2°S;334h342,4m3;3351,9°;33;
18/05/20223;323h330,4m3;3314,2°;331h339,0m3;3314,2°S;335h328,0m3;3347,1°;33;
19/05/20223;323h358,8m3;3312,6°;332h344,5m3;3313,2°S;336h328,9m3;3345,9°;33;
20/05/20223;33333333333;3333333;333h348,9m3;3314,4°S;337h343,5m3;3348,6°;33;
21/05/20223;330h341,4m3;3307,7°;334h349,3m3;3317,4°S;339h335,3m3;3354,5°;33;
22/05/20223;331h312,1m3;3300,7°;335h344,7m3;3321,8°S;310h327,6m3;3362,4°;DQ;
23/05/20223;331h335,2m3;3292,4°;336h335,1m3;3327,2°S;311h347,0m3;3371,3°;33;
24/05/20223;331h353,9m3;3283,6°;337h321,8m3;3333,1°S;313h332,7m3;3380,6°;33;
25/05/20223;332h310,1m3;3274,6°;338h335,9m3;3339,1°S;314h315,5m3;3389,9°;33;
26/05/20223;332h325,4m3;3265,6°;338h348,7m3;3345,1°S;315h326,7m3;3399,0°;33;
27/05/20223;332h341,0m3;3257,0°;339h331,5m3;3350,9°S;316h337,2m3;3107,7°;33;
