;date;;lever;;lever minute;;zenith;;coucher;;phase lune;;hlum;;minutelum;;difference;;
(;2022-01-01;,;8:46;,;526;,;12:54;,;17:03;,;;,;8:17;,;497;,;0;),;
(;2022-01-02;,;8:46;,;526;,;12:55;,;17:04;,;NL;,;8:18;,;498;,;1;),;
(;2022-01-03;,;8:46;,;526;,;12:55;,;17:05;,;;,;8:19;,;499;,;1;),;
(;2022-01-04;,;8:45;,;525;,;12:56;,;17:06;,;;,;8:21;,;501;,;2;),;
(;2022-01-05;,;8:45;,;525;,;12:56;,;17:07;,;;,;8:22;,;502;,;1;),;
(;2022-01-06;,;8:45;,;525;,;12:56;,;17:08;,;;,;8:23;,;503;,;1;),;
(;2022-01-07;,;8:45;,;525;,;12:57;,;17:09;,;;,;8:24;,;504;,;1;),;
(;2022-01-08;,;8:44;,;524;,;12:57;,;17:11;,;;,;8:27;,;507;,;3;),;
(;2022-01-09;,;8:44;,;524;,;12:58;,;17:12;,;PQ;,;8:28;,;508;,;1;),;
(;2022-01-10;,;8:43;,;523;,;12:58;,;17:13;,;;,;8:30;,;510;,;2;),;
(;2022-01-11;,;8:43;,;523;,;12:59;,;17:15;,;;,;8:32;,;512;,;2;),;
(;2022-01-12;,;8:42;,;522;,;12:59;,;17:16;,;;,;8:34;,;514;,;2;),;
(;2022-01-13;,;8:42;,;522;,;12:59;,;17:17;,;;,;8:35;,;515;,;1;),;
(;2022-01-14;,;8:41;,;521;,;12:59;,;17:19;,;;,;8:38;,;518;,;3;),;
(;2022-01-15;,;8:40;,;520;,;13:00;,;17:20;,;;,;8:40;,;520;,;2;),;
(;2022-01-16;,;8:40;,;520;,;13:00;,;17:22;,;;,;8:42;,;522;,;2;),;
(;2022-01-17;,;8:39;,;519;,;13:01;,;17:23;,;PL;,;8:44;,;524;,;2;),;
(;2022-01-18;,;8:38;,;518;,;13:01;,;17:24;,;;,;8:46;,;526;,;2;),;
(;2022-01-19;,;8:37;,;517;,;13:01;,;17:26;,;;,;8:49;,;529;,;3;),;
(;2022-01-20;,;8:36;,;516;,;13:02;,;17:27;,;;,;8:51;,;531;,;2;),;
(;2022-01-21;,;8:35;,;515;,;13:02;,;17:29;,;;,;8:54;,;534;,;3;),;
(;2022-01-22;,;8:34;,;514;,;13:02;,;17:31;,;;,;8:57;,;537;,;3;),;
(;2022-01-23;,;8:33;,;513;,;13:02;,;17:32;,;;,;8:59;,;539;,;2;),;
(;2022-01-24;,;8:32;,;512;,;13:03;,;17:34;,;;,;9:02;,;542;,;3;),;
(;2022-01-25;,;8:31;,;511;,;13:03;,;17:35;,;DQ;,;9:04;,;544;,;2;),;
(;2022-01-26;,;8:30;,;510;,;13:03;,;17:37;,;;,;9:07;,;547;,;3;),;
(;2022-01-27;,;8:29;,;509;,;13:03;,;17:38;,;;,;9:09;,;549;,;2;),;
